               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07763,            0.017207,            0.011205,             0.40373,             0.28007,             0.16316,            0.087035,            0.060154,            0.017196,            0.010299,          0.00014995,          0.00014995,            0.025158
                   1,            0.068781,            0.015227,           0.0094571,             0.55748,             0.25296,             0.21142,             0.11636,            0.057535,            0.016726,           0.0087995,          0.00029833,          0.00029833,          0.00030605
                   2,            0.064574,            0.014415,           0.0083109,             0.38872,             0.32954,             0.28364,             0.16464,            0.054737,            0.015925,           0.0077544,          0.00029354,          0.00029354,          0.00029354
                   3,            0.062209,            0.014245,            0.007627,             0.55813,             0.33208,             0.32041,              0.1883,            0.053543,             0.01567,           0.0071922,          0.00029354,          0.00029354,          0.00029354
                   4,            0.060472,            0.013779,           0.0072906,             0.45797,             0.36865,             0.34661,             0.20876,            0.052478,            0.015468,            0.006952,          0.00028561,          0.00028561,          0.00028561
                   5,            0.059083,            0.013523,           0.0069854,             0.40952,             0.42448,             0.37851,             0.23085,             0.05195,            0.015351,           0.0066394,          0.00027479,          0.00027479,          0.00027479
                   6,            0.058332,             0.01346,           0.0067446,             0.45322,             0.44026,             0.41142,             0.25124,             0.05123,            0.015125,            0.006366,          0.00026134,          0.00026134,          0.00026134
                   7,             0.05784,            0.013401,           0.0064952,             0.46723,             0.44537,             0.42558,             0.26334,            0.050813,            0.015196,           0.0061788,          0.00024559,          0.00024559,          0.00024559
                   8,            0.057032,            0.013148,           0.0062822,             0.52581,             0.42673,             0.44597,             0.27676,            0.050212,            0.014943,           0.0060393,          0.00022793,          0.00022793,          0.00022793
                   9,            0.056543,            0.013366,           0.0061476,             0.50232,             0.45985,             0.46404,             0.29066,             0.04989,            0.014853,            0.005858,          0.00020879,          0.00020879,          0.00020879
                  10,            0.055866,            0.012891,           0.0059926,             0.51064,             0.46487,             0.47453,             0.29731,            0.049852,            0.014809,           0.0057852,          0.00018865,          0.00018865,          0.00018865
                  11,            0.055212,            0.012752,           0.0058312,             0.54215,             0.45812,             0.48909,             0.30877,            0.049398,            0.014751,           0.0056911,            0.000168,            0.000168,            0.000168
                  12,            0.054985,            0.012882,           0.0057614,             0.54835,             0.47236,              0.4944,             0.31191,            0.049215,            0.014675,           0.0055765,          0.00014735,          0.00014735,          0.00014735
                  13,            0.054435,            0.012747,           0.0056262,             0.52792,             0.49869,             0.50118,             0.31654,             0.04893,            0.014597,           0.0055294,          0.00012721,          0.00012721,          0.00012721
                  14,            0.053721,            0.012474,           0.0054979,             0.55174,             0.49038,             0.50847,             0.32265,            0.048855,            0.014561,           0.0054696,          0.00010807,          0.00010807,          0.00010807
                  15,            0.053554,            0.012412,           0.0054243,             0.51407,             0.53316,              0.5124,             0.32546,            0.048601,             0.01451,           0.0054056,          9.0412e-05,          9.0412e-05,          9.0412e-05
                  16,            0.053141,             0.01243,           0.0053459,             0.52547,             0.52316,             0.51784,             0.32991,            0.048292,            0.014458,           0.0053223,          7.4662e-05,          7.4662e-05,          7.4662e-05
                  17,             0.05295,            0.012409,           0.0052992,             0.52483,             0.53341,             0.52179,             0.33293,             0.04826,            0.014471,           0.0052868,           6.121e-05,           6.121e-05,           6.121e-05
                  18,            0.052595,            0.012346,           0.0052488,             0.54881,             0.51468,             0.52408,             0.33347,            0.048164,            0.014396,           0.0052824,          5.0387e-05,          5.0387e-05,          5.0387e-05
                  19,            0.052317,            0.012301,           0.0052081,             0.55638,             0.52038,             0.52888,             0.33735,             0.04812,            0.014387,           0.0052387,          4.2461e-05,          4.2461e-05,          4.2461e-05
